gender,status,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
male,active,,
female,inactive,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
